# ----------------------------------------
# Resumen de Ver la interacción y la retención de usuarios
# Cuenta: Neomonitor
# Propiedad: Neocalcu
# ----------------------------------------
#  
# Fecha de inicio: 20260419
# Fecha de finalización: 20260518
Día N,Usuarios activos
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,11
0016,105
0017,10
0018,7
0019,60
0020,33
0021,54
0022,35
0023,56
0024,29
0025,20
0026,14
0027,13
0028,18
0029,38

# Fecha de inicio: 20260419
# Fecha de finalización: 20260518
Día N,Usuarios nuevos
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,11
0016,105
0017,8
0018,4
0019,54
0020,28
0021,49
0022,29
0023,51
0024,27
0025,15
0026,14
0027,11
0028,15
0029,29

# ¿De dónde proceden los nuevos usuarios?
# Fecha de inicio: 20260419
# Fecha de finalización: 20260518
Primer grupo de canales principal del usuario (Grupo de canales predeterminado),Usuarios nuevos
Direct,375
Referral,40
Organic Social,28
Organic Search,7

#  
# Fecha de inicio: 20260419
# Fecha de finalización: 20260518
Título de página y clase de pantalla,Vistas
NeoCalcu,1194
NeoCalcu — Calculadora Bedside para Neonatología,11
NeoCalcu - https://diegoastein.github.io/neocalcu/,2

#  
# Fecha de inicio: 20260419
# Fecha de finalización: 20260518
Plataforma,Usuarios activos
"[""Web""]",447

#  
# Fecha de inicio: 20260419
# Fecha de finalización: 20260518
Cohorte,Día 1,Día 7,Día 30
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0.09090909090909091,0.09090909090909091,0
16,0.009615384615384616,0.019230769230769232,0
17,0,0,0
18,0,0,0
19,0.037037037037037035,0,0
20,0,0.03571428571428571,0
21,0.02040816326530612,0.02040816326530612,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0.18181818181818182,0,0
28,0.06666666666666667,0,0
29,0,0,0

#  
# Fecha de inicio: 20260419
# Fecha de finalización: 20260518
Cohorte,Día 1,Día 7,Día 30
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,4,70,0
16,0,898,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,18,0
21,0,69,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,273.5,0,0
28,123,0,0
29,0,0,0

#  
# Fecha de inicio: 20260407
# Fecha de finalización: 20260518
Cohorte,Tiempo de interacción medio por usuario activo
0000,4.2449986469083765
0001,9.535714285714286
0002,22.333333333333336
0003,5.5775
0004,0.05128205128205128
0005,2.8552631578947367
0006,11.837837837837839
0007,29.305555555555557
0008,2.1714285714285713
0009,0.9117647058823529
0010,0
0011,0
0012,0
0013,0.7
0014,0.13793103448275862
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
0030,0
0031,0
0032,0
0033,0
0034,0
0035,0
0036,0
0037,0
0038,0
0039,0
0040,0
0041,0
